Rowid_,VALUE,COUNT,US_200BPS,US_200EVT,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
,65800,1444,964,7056,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,0.000000000000000,NA,NA,0.000000000000000,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer
,65804,255,1090,9004,10790_6_9_10_12_16_17_18,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,94.000000000000000,830,NA,84.000000000000000,Inter-Mountain Basins Active and Stabilized Dune,Sparsely Vegetated
,65809,2,964,7198,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,0.000000000000000,NA,NA,0.000000000000000,Recently Disturbed Other-Herb and Grass Cover,Grassland
,65811,30,998,7198,11350_16_23_24,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25.000000000000000,NA,NA,25.000000000000000,Recently Disturbed Other-Herb and Grass Cover,Grassland
,65812,2,998,7191,11350_16_23_24,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25.000000000000000,NA,NA,25.000000000000000,Recently Logged-Herb and Grass Cover,Grassland
,65815,410,967,9017,10160_16_23_24_25,Colorado Plateau Pinyon-Juniper Woodland,Conifer,427.000000000000000,193,2250,126.000000000000000,Rocky Mountain Alpine-Montane Wet Meadow,Riparian
,65819,297,980,7900,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Western Cool Temperate Urban Deciduous Forest,Developed
,65825,1552,980,7296,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Developed-Low Intensity,Developed-Low Intensity
,65828,441,980,7297,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Developed-Medium Intensity,Developed-Medium Intensity
,65840,92,604,7921,10810_6_12_13_17,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,2003.000000000000000,NA,NA,2003.000000000000000,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed
,65842,2434,966,7054,10120_16_27,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,135.000000000000000,81,NA,51.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65845,2,963,7080,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,0.000000000000000,NA,NA,0.000000000000000,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland
,65848,526,604,9011,10810_6_12_13_17,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,2003.000000000000000,NA,NA,2003.000000000000000,North American Arid West Emergent Marsh,Riparian
,65853,49027,995,7054,11261_16_23_24,Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush,Shrubland,49.000000000000000,NA,NA,49.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65854,79,965,7944,10110_16_23_24,Rocky Mountain Aspen Forest and Woodland,Hardwood,59.000000000000000,50,NA,27.000000000000000,Western Cool Temperate Developed Ruderal Herbaceous Wetland,Developed
,65855,10598,991,7054,11072_16,Rocky Mountain Gambel Oak-Mixed Montane Shrubland - Patchy,Shrubland,153.000000000000000,52,NA,39.000000000000000,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
,65856,1747,998,9307,11350_16_23_24,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25.000000000000000,NA,NA,25.000000000000000,Great Basin & Intermountain Introduced Annual and Biennial Forbland,Exotic Herbaceous
,65861,1,980,7020,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Conifer
,65863,2,602,9021,10790_6_9_10_12_16_17_18,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,94.000000000000000,830,NA,84.000000000000000,Rocky Mountain Subalpine-Montane Riparian Shrubland,Riparian
,65866,2,1000,7200,11450_16,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40.000000000000000,160,NA,32.000000000000000,Recently Disturbed Other-Tree Cover,Conifer
,65870,22,579,7198,10110_6_10_12_17_18_19,Rocky Mountain Aspen Forest and Woodland,Hardwood,68.000000000000000,57,NA,31.000000000000000,Recently Disturbed Other-Herb and Grass Cover,Grassland
,65871,97,980,7902,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Western Cool Temperate Urban Mixed Forest,Developed
,65877,34,1073,7086,11530_6_10_12_13_17_18_19_21,Inter-Mountain Basins Greasewood Flat,Shrubland,1037.000000000000000,NA,NA,1037.000000000000000,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland
,65879,167,1066,7146,11030_6_7_12_13_16_17_23,Great Basin Semi-Desert Chaparral,Shrubland,50.000000000000000,NA,NA,50.000000000000000,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland
,65883,81,602,7137,10790_6_9_10_12_16_17_18,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,94.000000000000000,830,NA,84.000000000000000,Mediterranean California Subalpine Meadow,Grassland
,65884,6,980,7920,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Western Cool Temperate Developed Ruderal Deciduous Forest,Developed
,65887,1018,980,7904,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,236.000000000000000,119,NA,79.000000000000000,Western Cool Temperate Urban Shrubland,Developed
,65888,2,994,7943,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117.000000000000000,NA,NA,117.000000000000000,Western Cool Temperate Developed Ruderal Shrub Wetland,Developed
,65892,341,1002,7107,11530_16_23_24_25_27,Inter-Mountain Basins Greasewood Flat,Shrubland,208.000000000000000,NA,NA,208.000000000000000,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland
,65894,159,604,7943,10810_6_12_13_17,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,2003.000000000000000,NA,NA,2003.000000000000000,Western Cool Temperate Developed Ruderal Shrub Wetland,Developed
,65895,19788,1002,9307,11530_16_23_24_25_27,Inter-Mountain Basins Greasewood Flat,Shrubland,208.000000000000000,NA,NA,208.000000000000000,Great Basin & Intermountain Introduced Annual and Biennial Forbland,Exotic Herbaceous
,65902,63,1005,7921,11600_16,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,273.000000000000000,NA,80,62.000000000000000,Western Cool Temperate Developed Ruderal Evergreen Forest,Developed
,65918,487,596,7904,10581_6,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Wet,Conifer,159.000000000000000,51,471,36.000000000000000,Western Cool Temperate Urban Shrubland,Developed
,65921,1,1046,9004,10040,North American Warm Desert Sparsely Vegetated Systems,Sparse,0.000000000000000,NA,NA,0.000000000000000,Inter-Mountain Basins Active and Stabilized Dune,Sparsely Vegetated
